	PF00005	PF00664	PF08402	PF04069	PF03412	PF08352	PF09383	PF01297	PF12698	PF12974	PF01061	PF03459	PF06422	PF06472	PF13748	PF01578	PF03169	PF04392	PF05975	PF05992	PF08370	PF09821	PF10649	PF11545	PF12558	PF12704	PF12857	PF13346	PF13732	PF14510	PF14524	PF00488	PF00529	PF01970	PF02588	PF03109	PF03401	PF03886	PF06182	PF06541	PF09847	PF09991	PF12399	PF12679	PF12730	PF12848	PF16185	PF16296	PF16326	PF16576	PF09515	PF10439	PF11495	PF12790	PF01978	PF04777	PF16572
05ca4daef824b326eaa28b13be26d659	43	2	1	1	0	2	0	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	4	0	0	1	4	0	0	0	0	0	0	0
06d0683312ae4f2a2fc7e6354f9d96bb	27	5	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	1	0	4	0	0	0	0	0	0	0	0	2	3	3	0	0	1	5	0	0	0	0	0	0	0
07145f355edaeded238eb530588811c8	88	16	2	5	0	2	2	3	5	0	2	1	0	0	0	0	0	2	1	0	0	0	0	0	1	8	0	1	1	0	0	3	0	0	5	0	0	0	0	1	0	0	1	3	4	6	0	0	2	2	1	0	0	0	3	0	0
09427fb54d283700eec2cb3f92d6ead2	25	1	2	0	0	0	1	1	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
09504ddbd10a61d41c30ab90cf4add6f	55	10	3	1	1	6	0	1	2	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	2	2	0	0	0	0	0	0	0	2	3	1	0	0	0	5	0	0	0	0	2	0	0
0e54f54b9cf17d2742dd997f608ea0f6	28	5	0	0	0	0	0	1	5	1	5	0	0	0	0	3	2	0	0	0	0	0	0	0	0	6	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	5	3	1	0	0	1	10	0	0	0	0	1	0	0
0fb4dae01250d6b2718debd5bd2a5f68	35	5	1	0	0	0	0	3	7	1	5	0	0	0	0	4	2	1	0	0	0	0	0	0	0	6	0	0	2	0	0	2	0	1	1	0	1	1	0	0	0	0	0	5	4	2	0	0	1	16	0	0	2	0	2	0	0
10ad914717d5d653603d41af516fe04b	70	5	2	3	0	2	1	1	1	5	3	2	0	0	0	3	0	4	0	0	0	0	0	0	0	4	0	0	0	0	2	2	1	0	2	1	0	1	0	0	0	0	6	0	0	3	0	0	1	11	0	0	0	0	0	0	0
114e144cbba7544344366e445631f555	76	13	1	0	0	18	1	1	5	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	0	2	2	1	1	0	1	0	6	0	0	1	1	2	2	0	0	2	0	1	2	0	0	0	1	0	0
1177de37e91dd57ab27cccfed2fa3ede	61	7	1	5	0	4	0	3	3	4	4	1	0	1	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	1	3	0	0	1	0	0	0	0	0	0	0	0
11995f4a2844e5890843c8db2d9a0be4	37	4	0	0	0	2	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	2	2	4	0	0	2	3	0	0	0	0	2	0	0
138ef3a6c103da35b95901056583d73e	56	8	0	0	1	2	1	1	2	0	4	0	0	0	0	3	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	5	1	1	2	0	0	1	9	0	0	0	0	0	0	0
14f9c3a927149bc988aead68d6f8ec3c	56	7	2	2	0	4	1	1	4	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	3	0	0
15a70356fa33f83e53d7ff2d78485b0e	46	3	2	0	0	2	0	1	4	1	8	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	2	2	4	1	0	0	0	0	0	0	0	0	0	0	0
163e9b711caeb91e86ef58c064317034	110	11	6	4	2	9	1	3	4	3	6	6	0	2	0	4	0	0	0	2	0	0	0	0	0	4	1	0	0	0	0	1	14	1	0	1	1	1	0	0	0	0	2	4	4	4	0	0	1	18	0	0	0	2	1	0	1
1802eb1a4f1d348bcc7cdb53f0117429	50	7	0	2	2	0	1	2	7	1	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	27	0	0	1	0	0	3	1	0	2	1	0	0	0	0	0	0	0	4	3	5	0	0	1	16	0	0	0	0	0	0	0
1a728532a8621db76cbfee8ca3912d0f	49	4	1	1	1	2	0	3	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	3	4	5	2	0	0	1	10	0	0	0	0	0	0	0
1c15f86bdc6478858d34232a6f46bdf5	66	6	2	4	1	6	1	1	5	8	6	10	0	1	0	2	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	2	2	0	0	2	0	2	0	0	0	1	2	5	4	3	0	0	2	17	0	0	0	0	0	0	0
1e2541c05c03f812dffea86fd3d4acdf	93	7	2	5	0	3	1	3	15	2	17	2	0	0	0	2	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	3	3	6	3	0	0	1	0	0	0	0	0	0	0	0
1f856fcae3a3635ac269c3957da1fbcc	34	1	1	0	0	4	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	1	0	16	0	0
20673a649e5afcca80b520d74737e706	66	6	1	3	1	2	1	4	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	5	0	0	1	0	0	2	0	0	5	0	0	0	0	0	0	0	1	1	1	3	0	0	1	0	0	0	0	0	0	0	0
22f313da4d3d704d3350438a638c3880	55	9	2	0	1	1	0	0	3	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1	4	4	5	0	0	1	22	0	0	0	1	0	0	0
24884f8df98d07e874e7d39c677e1da7	102	10	1	2	0	4	0	1	6	2	8	1	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	5	7	3	0	1	0	0	0	0	0	0	0	0	0
25462659b549e5201d1a59166757f555	67	6	1	2	0	5	0	1	2	4	3	1	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	1	0	3	0	2	0	0	0	0	7	3	3	3	0	0	2	10	0	0	0	0	1	0	0
25dd6901412ea010f6b78955d0ef6f71	68	8	3	2	1	9	1	4	2	2	3	2	0	0	0	4	0	1	0	0	0	0	0	0	1	2	0	1	0	0	0	1	1	1	0	2	1	0	0	0	0	0	2	1	1	4	0	0	1	11	0	0	0	1	0	0	0
261516a1ed3695457af2e441242d885a	91	7	2	4	0	6	1	2	7	3	11	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	2	6	0	0	0	0	0	3	7	10	3	0	0	0	0	0	0	0	0	2	0	0
262bf7395c01076cf1b69a5cd781e26a	14	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0
2725ffda7ac1036b54f94521f1c9ac60	81	14	3	1	0	1	1	3	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	1	0	0	2	0	0	3	0	0	0	0	1	0	1	0	1	3	3	0	0	0	0	1	0	1	0	2	0	0
27a021935ef34e761e7c769f9b26c640	202	16	9	2	0	23	0	2	24	2	27	3	0	0	1	1	0	0	0	0	0	0	0	0	0	17	0	1	2	0	0	0	0	0	0	2	0	0	2	0	0	0	4	18	19	4	0	1	0	1	0	0	0	0	5	0	0
28ca0affb9ab2a1b95d4e9da3391003b	44	4	0	0	0	1	0	1	2	5	3	4	0	0	0	2	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	2	1	0	4	0	0	2	9	0	0	0	0	0	0	0
2abcd27bd343aa982478ad5408508a67	150	14	3	0	0	6	0	2	7	0	7	3	0	0	0	1	0	0	0	0	0	0	0	0	0	8	1	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	20	7	4	3	0	0	0	0	0	0	1	0	2	0	0
2c989e44a6cfe0588f8044327556defc	55	5	0	1	0	3	1	2	0	2	1	0	0	0	0	0	2	3	0	0	0	0	0	0	1	2	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	1	0	0
2d33f3c75acab84702348f37eca1424a	82	7	3	0	0	8	0	2	7	2	10	0	0	0	0	2	0	0	0	0	0	2	0	0	0	6	0	1	0	0	1	5	0	1	1	2	1	0	4	0	0	0	3	9	6	2	0	0	1	6	0	0	1	0	4	0	0
2d9393e8242d88d903af92013bb375f4	122	9	10	3	0	13	0	2	1	3	3	4	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	2	10	1	2	12	1	0	0	0	0	9	1	1	3	0	0	2	7	0	0	0	0	0	0	0
2ee55303fc3df5022c7a75e87bf3f939	69	4	1	1	0	2	1	2	3	2	4	4	0	0	0	3	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	1	0	1	1	0	0	0	0	5	3	3	3	0	0	1	5	0	0	0	0	0	0	0
2faf043b41212d32edb0255ccd1e5ac1	67	11	3	1	0	12	2	0	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	2	0	0	0	2	1	0	2	1	0	0	2	0	0	1	1	3	4	0	0	0	0	2	1	0	0	0	1	0	0
2ffb2bd8721871c96e01630aaad5bba5	39	4	1	0	0	5	1	0	2	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0
33f7ee38fef8bf537500787675475fa8	95	18	3	3	0	3	2	3	4	1	4	1	0	0	0	0	0	1	1	0	0	0	0	0	1	9	0	0	2	0	1	3	0	0	4	0	0	0	0	1	0	0	0	0	2	5	0	0	2	0	2	0	0	0	1	0	0
3611e7e360877f74c5b17a94e7072f0a	50	8	2	1	3	0	0	1	6	0	5	0	0	0	0	2	1	0	0	0	0	0	0	0	0	26	0	0	0	0	0	4	4	0	2	0	0	0	0	0	0	0	0	2	3	5	0	0	2	20	0	0	0	0	0	0	1
368fe3e79fffd77d3220a8de81a659cb	136	11	4	5	0	9	0	2	14	3	17	2	0	0	0	1	0	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	10	9	6	2	0	0	1	0	0	0	0	0	2	0	0
3690b632ef15273429f3e56f2f66a7e9	44	5	0	1	1	1	0	0	3	0	3	1	0	0	0	3	2	0	0	0	0	1	0	0	0	37	0	0	1	0	0	4	3	0	0	0	0	0	0	0	0	0	1	3	1	3	0	0	1	19	0	0	0	0	3	0	0
378e9821e57d5b35c11f06fc203dca50	21	2	0	0	1	0	0	0	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	1	4	0	0	1	2	0	0	0	0	0	0	0
394b8531bed114a90fee0615129ee27d	28	2	0	0	0	1	1	1	7	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	5	4	1	0	0	1	0	0	0	0	0	1	0	0
3971afd18f68c531fcdccd37311bba5e	42	8	0	0	1	0	0	0	4	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	1	1	0	1	2	1	0	0	1	0	0	0	0	0	0	0	5	5	5	0	0	1	14	0	0	0	0	0	0	0
39a24fbf2bab8034659202cd6c6361a5	22	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0
3a89b3406f867b7c7e7821d0966ca5e7	31	2	0	0	0	2	1	2	3	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	2	2	4	0	0	1	10	0	0	0	0	1	0	0
3aa7364a07f3b2db32e6a9de21edcb04	65	7	1	2	2	0	0	0	8	0	11	0	0	1	0	3	1	0	0	1	0	0	0	0	0	97	0	1	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	8	8	4	0	0	1	30	0	0	0	0	1	0	0
3ff575b0ffe271198ee9e587ac7a2288	89	10	5	3	0	9	1	1	4	3	5	1	0	0	0	4	0	2	0	0	0	0	0	0	0	6	1	0	0	0	0	1	5	1	1	1	1	1	0	0	0	0	2	1	1	4	0	0	2	15	0	0	0	1	0	0	0
4066b363d06d8f71f851aa9afe3320e1	37	1	1	0	1	2	0	1	2	1	4	1	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	5	0	1	0	0	0	0	3	2	2	4	0	0	1	13	0	0	0	0	0	0	1
40781b32762f825c64a31991c93e544d	42	5	2	1	0	4	1	1	3	0	3	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	1	0	0
4530dfe88d6542874da561af0c268b64	72	8	3	0	0	21	0	1	7	1	7	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	2	4	4	0	0	2	0	1	1	0	0	0	2	0	0
470be078d5614ee9bcacf54b699a374c	71	7	2	0	2	2	0	1	8	5	8	0	0	0	0	3	3	0	0	0	0	0	0	0	0	7	0	1	0	0	0	4	1	0	0	8	0	0	2	0	0	0	0	10	11	5	0	0	1	17	0	0	1	1	4	0	0
471de76699165b751210d5588c32636c	42	1	1	3	0	0	1	1	5	1	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	5	0	0
4806649c7a54c88a8383187e11c01173	41	8	0	0	1	2	0	1	1	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	9	0	0	0	0	0	0	0
488ea4a587d2977d6da25c024272e9ba	67	10	1	0	0	0	0	3	5	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	1	4	0	0	1	0	0	0	2	5	0	0	0	5	9	3	0	0	1	0	0	0	0	0	0	0	0
48969e697c9def68e434696e4ada2411	43	4	0	3	0	0	0	1	7	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	1	1	0	0	3	1	0	1	0	0	1	0	0	0	0	0	3	4	4	0	0	1	17	0	0	0	0	0	0	0
4a01a6cb74cd52b2de454087db8b9667	114	10	5	3	4	4	2	1	6	6	11	3	0	0	0	3	5	2	0	0	0	0	0	0	0	10	0	2	0	0	1	3	1	1	0	3	0	0	2	1	0	0	2	8	9	5	0	0	2	21	0	0	0	1	3	0	0
4aabe27476a2c9afcb09698aa6e1aa26	70	14	1	0	0	6	0	1	7	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	3	1	0	0	0	3	0	1	1	1	3	3	0	0	0	1	0	0	0	0	0	0	0
4b0bed82ec259b2f25bcfe2b1634e745	139	17	2	5	0	22	2	2	16	2	17	3	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	1	10	10	3	0	3	1	0	0	0	0	0	5	0	0
4bc880a04520854d3514601cca736e83	90	11	3	1	0	8	0	1	7	2	12	0	0	0	0	2	0	0	0	0	0	1	0	0	0	11	0	0	2	0	3	2	2	0	1	2	0	0	0	0	0	0	1	8	7	1	0	0	1	5	0	0	0	0	1	0	0
4d6d64a3a949c26edd24985aa99536c1	21	1	0	0	0	2	1	1	3	2	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	3	0	0	0	0	1	0	0
4fb684465834a4b8540fe95219bfb4fc	93	10	9	8	2	6	1	3	0	5	4	4	0	0	0	3	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	3	6	0	2	5	1	0	0	0	0	3	0	0	4	0	0	1	9	0	0	0	1	0	0	0
504566e4c31f32fc959e694cc4c83ea6	36	5	0	0	1	2	0	1	3	3	7	0	0	1	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	6	1	0	0	1	0	2	0	0	0	1	1	2	2	3	0	0	1	13	0	0	0	0	0	0	1
538a9d9e641d15c563ee3c23de058477	71	9	1	0	2	5	1	1	8	1	10	1	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	2	1	0	0	6	1	0	3	2	0	0	2	0	0	1	1	7	5	1	0	0	1	3	1	1	0	0	2	0	0
55cf014baaf75fead0b1e199641733c2	31	3	0	0	3	1	0	1	3	3	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	4	0	0	2	0	1	0	0	0	1	0	3	2	3	0	0	2	18	0	0	0	0	1	0	1
572de172dbcfc1635adaf09197635de1	37	5	2	0	1	2	0	0	4	0	6	1	0	0	0	2	2	0	0	0	0	0	0	0	0	7	0	1	2	0	2	2	1	0	0	0	0	0	0	0	0	0	1	4	4	1	0	0	0	10	0	0	0	0	0	0	0
5d88da691c5eaa04ef692c68f909014c	52	1	4	1	0	4	0	1	9	0	9	0	0	0	0	2	0	0	0	0	0	1	0	0	0	4	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	5	8	9	1	0	0	1	1	0	0	0	0	2	0	0
5e52f27c6ac18f9196aec1451fa3a6fe	63	8	2	5	0	3	1	3	2	2	1	2	0	0	0	0	0	2	1	0	0	0	0	0	2	6	0	0	1	0	0	3	0	0	2	1	0	0	0	0	0	0	1	0	0	3	0	0	2	0	2	0	0	0	2	0	0
6007188b76ff0c82789078fc6ab7e1fa	31	5	0	2	0	4	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	6	0	0	0	1	0	0	0
65461620220f53ca3f3575b87f802077	109	12	6	3	0	8	0	1	1	4	3	1	0	0	0	3	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	1	1	2	2	0	0	0	0	0	7	0	0	5	0	1	1	5	0	0	0	0	2	0	0
6598a1dad472195fa1c78c068ad41a0a	58	3	0	0	0	1	0	1	5	0	5	5	0	0	0	1	0	1	0	0	0	1	0	0	0	7	1	0	0	0	0	2	3	0	0	1	0	0	0	0	0	0	4	5	4	5	0	0	1	15	0	0	0	1	1	0	0
6722a6a1e29be0c66e9cde3e6c4e53bc	44	5	2	0	2	6	0	0	3	0	5	1	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	5	0	0	3	0	1	0	0	0	0	1	3	4	4	0	0	1	21	0	0	0	0	2	0	0
68ba5f0746de7af6c9bace38f0b6321b	69	8	3	1	0	2	2	3	12	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	7	1	0	0	0	0	0	0	1	0	5	0	0
68f764ce9b14f053111890adc958efaf	48	9	0	0	3	0	1	0	5	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	1	1	0	0	4	2	0	0	1	0	0	0	0	0	0	0	3	6	5	0	0	2	18	0	0	0	0	0	0	1
6a80e69ec00874bdbebea66f673e104e	49	4	0	2	1	2	0	1	4	7	4	3	0	0	0	3	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	2	1	0	1	2	0	1	0	0	0	1	1	3	2	5	0	0	2	12	0	0	0	0	1	0	0
6acafa1880de1ba85948f689874529ff	39	0	3	0	0	5	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0
6c5726dddcd79536dfc36ef444ac5028	73	10	7	4	5	8	0	1	2	2	3	1	0	0	0	2	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	1	7	0	0	2	0	1	0	0	0	0	2	2	2	4	0	0	1	17	0	0	0	1	0	0	0
6c6c9aa7717e2fa82e52d583edbd5cdc	57	7	3	1	0	4	1	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	1	1	0	1	0	2	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0
6e7d3ec7674da611374259fa8a8c0c44	25	3	0	0	1	2	1	0	2	2	4	0	0	1	0	1	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	5	0	0	0	0	0	0	0
72805b17a6c441b716d473596e0c427c	67	6	5	2	3	4	0	1	4	1	6	1	0	0	0	3	3	0	0	0	0	0	0	0	0	5	0	2	0	0	0	2	1	0	0	7	0	0	0	0	0	0	1	7	6	3	0	0	1	14	0	0	0	0	0	0	0
73031fe5972cc07d6cf6b0b66dad1a5a	117	32	0	1	1	3	1	0	9	2	5	2	0	0	0	2	1	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	3	6	3	0	0	1	1	0	0	0	0	3	0	0
73bc15858ab78ff3e0673eb858f3aaf5	69	5	4	0	0	6	0	1	7	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	3	0	0	1	0	0	0	2	0	2	0	2	4	3	1	0	1	0	0	0	0	0	0	0	0	0
789b8c829512a8c10316f21e02c58129	41	8	2	1	2	6	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	1	5	1	1	0	0	0	0	0
